filename,window_start,window_end,window_duration,window_frames,eye_contact_ratio,face_visibility_ratio,gaze_center_ratio,valid_gaze_frames,gaze_center_frames,looking_away_total_time,head_pitch_offset_mean,head_pitch_offset_std,head_yaw_mean,head_yaw_std,head_roll_mean,head_roll_std,head_movement_mean_delta,head_movement_stability_score,blink_count,blink_rate_per_minute,gaze_horizontal_ratio_mean,gaze_horizontal_ratio_std,gaze_vertical_ratio_mean,gaze_vertical_ratio_std,primary_gaze_horizontal_ratio,primary_gaze_vertical_ratio,primary_gaze_zone_ratio,secondary_gaze_zone_ratio,gaze_deviation_from_primary_ratio,gaze_deviation_from_primary_mean,primary_head_pitch,primary_head_yaw,head_deviation_from_primary_ratio,head_deviation_from_primary_mean,look_away_level,looking_away,frequent_looking_away,face_not_visible,excessive_head_movement,noticeable_fidgeting,distracted_by_offscreen_activity,camera_or_video_issue,reading_from_screen_or_notes,looking_down_frequently,body_out_of_frame,poor_lighting,background_distraction_visible,hand_to_face_or_hair,annotation_quality,notes
sample10.mp4,3.00,6.00,3.0,9,0.5556,1.0,1.0,7,7,1.33,2.3237,1.8251,-9.6189,10.2661,-19.4585,54.9377,34.15,2.84,3,60.0,0.5266,0.0103,0.6153,0.0592,0.589,0.7129,0.3061,0.198,0.0,0.1217,176.1994,7.9166,0.8889,206.9128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,12.00,15.00,3.0,9,0.7778,1.0,0.875,8,7,0.67,3.2506,1.3791,3.2636,8.6703,-2.5894,1.9486,34.602,2.81,2,40.0,0.5927,0.0359,0.6624,0.0687,0.589,0.7129,0.3061,0.198,0.0,0.0822,176.1994,7.9166,0.3333,47.0765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,18.00,21.00,3.0,9,0.2222,1.0,0.75,8,6,2.33,4.6341,1.4775,5.9916,10.6101,27.5925,51.3423,48.2099,2.03,2,40.0,0.6,0.1158,0.7948,0.0735,0.589,0.7129,0.3061,0.198,0.25,0.1249,176.1994,7.9166,0.8889,313.3501,0,0,0,0,1,0,0,0,0,0,0,0,0,1,clear,
sample10.mp4,30.00,33.00,3.0,9,0.7778,1.0,1.0,7,7,0.67,4.6524,2.7128,7.3436,5.2426,-7.5593,3.413,19.2726,4.93,2,40.0,0.5752,0.0401,0.7377,0.0623,0.589,0.7129,0.3061,0.198,0.0,0.075,176.1994,7.9166,0.1111,44.1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,33.00,36.00,3.0,9,0.6667,1.0,1.0,7,7,1.0,3.6005,1.6104,1.8153,12.1569,-2.6774,7.1381,35.4902,2.74,2,40.0,0.573,0.0408,0.624,0.0933,0.589,0.7129,0.3061,0.198,0.1429,0.1131,176.1994,7.9166,0.4444,86.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,39.00,42.00,3.0,9,0.6667,1.0,1.0,7,7,1.0,7.6186,7.1546,-1.7195,13.5963,-21.8168,55.1838,49.3347,1.99,4,80.0,0.5718,0.0444,0.6254,0.062,0.589,0.7129,0.3061,0.198,0.1429,0.0954,176.1994,7.9166,0.5556,119.4119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,42.00,45.00,3.0,9,0.7778,1.0,0.8333,6,5,0.67,4.6748,1.2465,8.1185,4.72,-8.89,1.798,1.8988,34.5,2,40.0,0.6216,0.0789,0.7221,0.0497,0.589,0.7129,0.3061,0.198,0.1667,0.0794,176.1994,7.9166,0.0,4.1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,51.00,54.00,3.0,9,0.6667,1.0,0.8571,7,6,1.0,4.1703,3.1012,9.5022,10.4386,-8.5607,3.8493,20.0429,4.75,3,60.0,0.5618,0.0632,0.6218,0.0627,0.589,0.7129,0.3061,0.198,0.1429,0.1141,176.1994,7.9166,0.5556,124.131,1,1,0,0,1,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,54.00,57.00,3.0,9,0.4444,1.0,0.8571,7,6,1.67,5.1418,4.8283,3.3977,8.9632,-5.7218,3.1256,49.6486,1.97,4,80.0,0.5722,0.0835,0.7796,0.1463,0.589,0.7129,0.3061,0.198,0.4286,0.1614,176.1994,7.9166,0.6667,199.2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,57.00,60.00,3.0,9,0.5556,1.0,0.8333,6,5,1.33,6.7538,5.1351,3.4615,13.344,-3.1106,5.0148,62.2965,1.58,1,20.0,0.5486,0.1033,0.673,0.1593,0.589,0.7129,0.3061,0.198,0.5,0.1564,176.1994,7.9166,0.7778,236.4086,1,1,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,75.00,78.00,3.0,9,0.2222,1.0,0.8571,7,6,2.33,5.1503,3.4234,7.9354,3.8815,-6.9707,3.7173,32.9168,2.95,2,40.0,0.5494,0.0797,0.7547,0.0739,0.589,0.7129,0.3061,0.198,0.0,0.1133,176.1994,7.9166,0.3333,122.4298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,78.00,81.00,3.0,9,0.2222,1.0,1.0,9,9,2.33,3.7539,1.5155,8.552,4.4119,-6.4994,3.602,32.6191,2.97,1,20.0,0.5859,0.0272,0.6577,0.0824,0.589,0.7129,0.3061,0.198,0.2222,0.0704,176.1994,7.9166,0.1111,42.7984,1,1,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,84.00,87.00,3.0,9,0.3333,1.0,1.0,8,8,2.0,4.4347,2.7485,12.2719,12.2498,-2.2723,7.6762,49.0055,2.0,2,40.0,0.5499,0.0651,0.597,0.154,0.589,0.7129,0.3061,0.198,0.375,0.1656,176.1994,7.9166,0.7778,201.8382,1,1,0,0,0,0,0,0,0,0,0,0,0,0,clear,
sample10.mp4,90.00,93.00,3.0,9,0.2222,1.0,0.8,5,4,2.33,7.5021,6.6266,7.388,18.8751,-6.2567,3.5786,21.6038,4.42,1,20.0,0.573,0.1116,0.6189,0.1012,0.589,0.7129,0.3061,0.198,0.4,0.1527,176.1994,7.9166,1.0,311.2392,1,1,0,0,1,0,1,0,0,1,0,0,0,0,clear,
